alternate_id,collection_date,collection_year,collection_month,collection_day,location2,length_mm,length_type,weight_g,lifestage,sex,o18_sample_id,d_c13,d_o18
23g043pw_39,20230322,2023,3,22,PWS-inside,500,fork,1380,2,2,87,-1.225919652,1.212108503
23g043pw_42,20230322,2023,3,22,PWS-inside,530,fork,1520,2,1,88,-0.913916331,1.299661051
23g043pw_43,20230322,2023,3,22,PWS-inside,760,fork,6300,5,2,89,-0.877054347,2.3571391
23g043pw_44,20230322,2023,3,22,PWS-inside,780,fork,4690,6,2,90,-0.967664779,2.122957464
23g043pw_45,20230322,2023,3,22,PWS-inside,590,fork,2080,6,2,91,-1.072487469,1.68043697
23g043pw_46,20230322,2023,3,22,PWS-inside,620,fork,2460,6,2,92,-0.381387406,1.620887527
23g043pw_47,20230322,2023,3,22,PWS-inside,420,fork,910,1,1,93,-0.83592409,0.550924472
23g043pw_48,20230322,2023,3,22,PWS-inside,530,fork,1410,2,1,94,-1.32200903,0.970460205
24g009_1,NA,NA,NA,NA,CI-inside,710,NA,3820,NA,1,95,-0.521321329,2.161024374
24g009_2,NA,NA,NA,NA,CI-inside,640,NA,2860,NA,1,96,-0.9177021,1.452162372
24g009_3,NA,NA,NA,NA,CI-inside,870,NA,2050,NA,1,97,-0.962146138,1.436080615
24g009_4,NA,NA,NA,NA,CI-inside,600,NA,2630,NA,1,98,-0.360666411,1.589257119
24g009_5,NA,NA,NA,NA,CI-inside,710,NA,4260,NA,1,99,-1.309626293,1.967530441
24g009_6,NA,NA,NA,NA,CI-inside,520,NA,1650,NA,1,100,-0.830097644,1.364264817
24g009_7,NA,NA,NA,NA,CI-inside,540,NA,1770,NA,1,101,-0.676502994,1.571353605
24g009_8,NA,NA,NA,NA,CI-inside,690,NA,4180,NA,1,102,-1.35378779,1.442785152
24g009_9,NA,NA,NA,NA,CI-inside,570,NA,2460,NA,1,103,-0.553309246,1.351916622
24g009_12,NA,NA,NA,NA,CI-inside,620,NA,5030,NA,1,104,-0.868883632,1.410392217
24g009_13,NA,NA,NA,NA,CI-inside,730,NA,4010,NA,1,105,-1.025892186,1.511428274
